Funds,Factsheet / Offering Material (via Fundinfo),Fund Specific Materials (via Intranet),Fund Watch List,Base Ccy,Last Bloomberg Update,Latest NAV,1 Mth Return (%),3 Mths Return (%),YTD Return (%),1 Yr Return (%),3 Yr Ann Return (%),5 Yr Ann Return (%),3 Yr Ann Std Dev (%),Inception Date,ISIN (base ccy),BB Ticker (base ccy),Other share classes available,Use of Derivatives (as a principal driver),Is this a High Yield Bond Fund (Yes/No),Risk Rating ,AR*,SG MAS Registered,SG Restricted,HK SFC Authorization,UK Registered,Offering In DIFC Allowed?*,UCITS,Fund House Max Sales ChargeBOS Fee Schedule applies - Min USD375 Max up to 2% upfront fee,Investment Objective,Investment Tenor,Investment Time Horizon,Dealing Frequency (Subscription)Refer to Funds Identifier tab for Notice Period,Dealing Frequency (Redemption)Refer to Funds Identifier tab for Notice Period,Loss Absorption Product,Complex Product,Remarks,Extra Remarks,,,,
Pictet - Water-P USD,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0255980327,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Pictet/Water,No,USD,06-Nov-2019,392.51 ,4.37 ,7.67 ,25.34 ,18.35 ,11.34 ,7.29 ,11.04 ,5/26/2006,LU0255980327,PICWATP LX EQUITY,"USD Acc , USD Acc  (H) , EUR Acc , EUR Dis (Ann) , CHF Acc  (H) , GBP Dis (Ann)",No,No,4,55%,Yes,Restricted,SFC Authorized,Yes,Yes,Yes,5.00%,Capital Appreciation,N/A,> 5 years,"Daily, but subject to quota availability, please check before placing orders.",Daily,No,No,,"(subject to quota availability, please check before placing orders)",,,,
Equity - Security,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,
Pictet - Security -P USD,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0256846139,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Pictet/Security,No,USD,06-Nov-2019,266.18 ,3.07 ,5.75 ,25.20 ,14.56 ,12.73 ,9.08 ,12.90 ,10/31/2006,LU0256846139,PSECUSP LX EQUITY,"USD Acc , EUR Acc , EUR Acc (H) , CHF Acc  (H) , USD Dis (Ann), GBP Dis (Ann)",No,No,4,60%,Yes,Restricted,SFC Authorized,Yes,Yes,Yes,5.00%,Capital Appreciation,N/A,> 5 years,"Daily, but subject to quota availability, please check before placing orders.",Daily,No,No,,"(subject to quota availability, please check before placing orders)",,,,
Equity - Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,
Janus Henderson HF Global Technology A2 USD,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0070992663,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Janus%20Henderson,No,USD,06-Nov-2019,98.04 ,5.79 ,8.73 ,30.49 ,18.02 ,20.45 ,14.79 ,15.73 ,10/15/1996,LU0070992663,HENGLTI LX EQUITY,"USD Acc , USD Dis (Ann) , SGD Acc , SGD Acc  (H) , GBP Acc , EUR Acc  ",No,No,4,60%,Yes,"Retail
(Recognized)",SFC Authorized,Yes,Yes,Yes,5.00%,Capital Appreciation,N/A,> 5 years,Daily,Daily,No,No,20% performance fee applicable but this is waived with effect from 1 December 2018 until further notice., ,,,,
Polar Capital Global Technology Fund,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=IE00B433M743,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Polar%20Capital/Polar%20Capital%20Global%20Technology%20Fund,No,USD,05-Nov-2019,49.03 ,4.30 ,5.94 ,28.92 ,16.07 ,24.12 ,18.30 ,16.73 ,9/4/2009,IE00B433M743,POLGTRU ID Equity,"USD Dis , EUR Acc (H) , EUR Dis  (H) ,  EUR Dis , GBP Dis",No,No,4,50%,Yes,Restricted,SFC Unauthorized,No,Yes,Yes,5.00%,Capital Appreciation,N/A,> 5 years,Daily,Daily,No,No,10% performance fee applicable,,,,,
Pictet - Robotics-P USD,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU1279333675,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Pictet/Robotics,No,USD,06-Nov-2019,184.22 ,5.73 ,12.02 ,30.28 ,19.39 ,17.97 ,N/A,17.75 ,10/7/2015,LU1279333675,PIRPUSD LX EQUITY,"USD Acc , EUR Acc , USD Dis (Ann) , EUR Dis (Ann) , EUR Acc  (H) , CHF Acc  (H)",No,No,4,60%,Yes,Restricted,SFC Authorized,Yes,Yes,Yes,5.00%,Capital Appreciation,N/A,> 5 years,Daily,Daily,No,No,,(USD10mio available on first-come-first serve till end 2019),,,,
Equity - Automation & Artificial Intelligence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,
Polar Capital Automation & Artificial Intelligence Fund,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=IE00BF0GL105,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Polar%20Capital/Polar%20Capital%20Automation%20and%20AI%20Fund,No,USD,05-Nov-2019,11.93 ,7.87 ,12.76 ,30.24 ,17.89 ,N/A,N/A,N/A,9/29/2017,IE00BF0GL105,PLAIRUA ID Equity,"USD Acc , EUR Acc",No,No,4,55%,Yes,Restricted,SFC Unauthorized,Yes,Yes,Yes,5.00%,Capital Appreciation,N/A,> 5 years,Daily,Daily,No,No,10% performance fee applicable,,,,,
Equity - Health Care,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,
Wellington Global Health Care Equity D,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=IE00B00LSD17,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Wellington/Global%20Healthcare%20Equity%20Fund,No,USD,06-Nov-2019,35.50 ,8.86 ,4.85 ,16.45 ,4.53 ,10.95 ,8.20 ,15.68 ,9/30/2006,IE00B00LSD17,WGHCEPB EQUITY,"USD Acc , EUR Acc , CHF Acc  ",No,No,4,60%,Yes,Restricted,SFC Unauthorized,Yes,Yes,Yes,No max,Capital Appreciation,N/A,> 5 years,"Daily, but subject to quota availability, please check before placing orders.",Daily,No,No,"BOS Fee Schedule applies - Min USD375, Max up to 2% upfront fee","(subject to quota availability, please check before placing orders)",,,,
Equity - Global Real Estate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,
Morgan Stanley Global Property A USD,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0266114312,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Morgan%20Stanley/Global%20Property%20Fund,No,USD,06-Nov-2019,32.24 ,3.17 ,8.55 ,15.39 ,9.29 ,6.00 ,3.15 ,10.16 ,10/31/2006,LU0266114312,MORGPRA LX EQUITY,"USD Acc , EUR Acc  (H)",No,No,4,55%,Yes,Restricted,SFC Authorized,Yes,Yes,Yes,5.75%,Capital Appreciation,N/A,> 5 years,Daily,Daily,No,No,, ,,,,
Invesco Global Real Estate Secs A AD USD,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU1775976944,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Invesco/Invesco%20Global%20Real%20Estate%20Securities,Yes,USD,05-Nov-2019,13.05 ,1.40 ,6.70 ,20.00 ,16.83 ,7.69 ,N/A,9.67 ,8/10/2018,LU1775976944,IVRESAA LX Equity,"UDS Acc, USD Dis (Ann), EUR Acc , GBP Dis (Ann)",No,No,4,55%,Yes,Restricted,SFC Unauthorized,Yes,Yes,Yes,5.00%,Capital Appreciation,N/A,> 5 years,Daily,Daily,No,No,, ,,,,
Neuberger Berman US Real Estate Sec USD A Acc,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=IE00B0T0GQ85,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Neuberger%20Berman/US%20Real%20Estate%20Securities%20Fund,No,USD,06-Nov-2019,22.49 ,(2.09),3.07 ,28.22 ,21.04 ,10.23 ,6.92 ,11.30 ,2/1/2006,IE00B0T0GQ85,NBIUSRA ID EQUITY,"USD Acc , USD Dis  (Qter) , CHF Acc  (H) , EUR Acc  (H) , SGD Acc  (H)",No,No,4,45%,Yes,Restricted,SFC Authorized,Yes,Yes,Yes,5.00%,Capital Appreciation,N/A,> 5 years,Daily,Daily,No,No,, ,,,,
Equity - Consumer Discretionary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,
Pictet - Premium Brands-P EUR,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0217139020,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Pictet/Premium%20Brands,Yes,EUR,06-Nov-2019,177.71 ,2.63 ,7.12 ,27.17 ,16.14 ,13.31 ,7.01 ,10.76 ,5/31/2005,LU0217139020,PPGPMBP LX EQUITY,"EUR Acc , EUR Dis (Ann) , USD Acc , USD Acc  (H) , SGD Acc  (H) , GBP Dis (Ann) , CHF Acc  (H)",No,No,4,55%,Yes,Restricted,SFC Authorized,Yes,Yes,Yes,5.00%,Capital Appreciation,N/A,> 5 years,Daily,Daily,No,No,, ,,,,
Equity - Consumer Staples,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,
Fidelity Funds - Gl Consumer Indust A-EUR,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0114721508,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Fidelity/Fidelity%20Global%20Consumer%20Industries%20Fund,No,EUR,06-Nov-2019,63.32 ,1.34 ,5.25 ,24.28 ,15.46 ,11.52 ,11.13 ,10.89 ,9/1/2000,LU0114721508,FIDCIFE LX EQUITY,EUR Dis (Ann),No,No,4,55%,Yes,"Retail
(Recognized)",SFC Authorized,No,Yes,Yes,5.25%,Capital Appreciation,N/A,> 5 years,Daily,Daily,No,No,, ,,,,
Equity - Asian Domestic Consumption,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,
Invesco Asia Consumer Demand A Acc USD,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0334857355,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Invesco/Invesco%20Asia%20Consumer%20Demand%20Fund,No,USD,05-Nov-2019,17.17 ,7.11 ,12.00 ,15.29 ,12.44 ,8.72 ,4.06 ,16.29 ,3/25/2008,LU0334857355,INVASAC LX EQUITY,"USD Acc , USD Dis (Semi-Ann) , EUR Acc  (H)",No,No,4,50%,Yes,Restricted,SFC Authorized,Yes,Yes,Yes,5.00%,Capital Appreciation,N/A,> 5 years,Daily,Daily,No,No,, ,,,,
Equity - Financials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,
Robeco New World Financial Equity EUR,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0187077481,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Robeco/New%20World%20Financial%20Equity%20EUR,No,EUR,06-Nov-2019,76.16 ,6.22 ,8.00 ,28.58 ,12.41 ,14.41 ,9.18 ,13.61 ,6/3/1998,LU0187077481,RGCGFFD LX EQUITY,"USD Acc , EUR Acc, EUR Dis (Ann)",No,No,4,55%,Yes,Restricted,SFC Unauthorized,Yes,Yes,Yes,5.00%,Capital Appreciation,N/A,> 5 years,Daily,Daily,No,No,, ,,,,
Money Markets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,
BGF Institutional US Dollar Liquidity Fund USD,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=IE0004810143,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Blackrock/BGF%20Institutional%20US%20Dollar%20Liquidity%20Fund%20USD,No,USD,06-Nov-2019,151.94 ,0.16 ,0.51 ,2.00 ,2.35 ,1.72 ,1.12 ,0.18 ,12/21/1998,IE0004810143,MLMIUSA ID EQUITY,USD Acc  ,No,No,1,90%,Yes,Restricted,SFC Unauthorized,Yes,Yes,Yes,No charge,Capital Preservation,Up to 1 year,Any investment time horizon,Daily,Daily,No,No,"BOS Fee Schedule applies - Min USD375, Max up to 2% upfront fee", ,,,,
BNP Paribas InstiCash USD 1D Short Term VNAV,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0167238863,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/BNP/BNP%20Insticash%20USD,No,USD,06-Nov-2019,124.01 ,0.14 ,0.47 ,1.99 ,2.34 ,1.73 ,1.13 ,0.18 ,5/16/2003,LU0167238863,BNPIMUC LX EQUITY,USD Acc  ,No,No,1,90%,Yes,Restricted,SFC Unauthorized,Yes,Yes,Yes,No charge,Capital Preservation,Up to 1 year,Any investment time horizon,Daily,Daily,No,No,"BOS Fee Schedule applies - Min USD375, Max up to 2% upfront fee", ,,,,
Pictet - ShortTerm Money Market USD,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0128497889,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Pictet/Short%20Term%20Money%20Market%20USD,No,USD,06-Nov-2019,136.55 ,0.16 ,0.50 ,1.87 ,2.27 ,1.68 ,1.14 ,0.18 ,5/8/2001,LU0128497889,PIPUSDR LX EQUITY,USD Acc  ,No,No,1,90%,Yes,Restricted,SFC Unauthorized,Yes,Yes,Yes,No charge,Capital Preservation,Up to 1 year,Any investment time horizon,Daily,Daily,No,No,"BOS Fee Schedule applies - Min USD375, Max up to 2% upfront fee", ,,,,
Goldman Sachs US$ Liquid Reserves Fund USD Acc,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=IE0031297975,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Goldman%20Sachs/Goldman%20Sachs%20US%24%20Liquid%20Reserves%20Fund,No,USD,06-Nov-2019,12726.77 ,0.15 ,0.50 ,1.92 ,2.27 ,1.62 ,1.03 ,0.18 ,2/27/2002,IE0031297975,GSUSLPA ID EQUITY,USD Acc  ,No,No,1,85%,Yes,Restricted,SFC Unauthorized,Yes,Yes,Yes,No charge,Capital Preservation,Up to 1 year,Any investment time horizon,Daily,Daily,No,No,"BOS Fee Schedule applies - Min USD375, Max up to 2% upfront fee", ,,,,
BNP Paribas InstiCash EUR 1D Short Term VNAV,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0167237543,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/BNP/BNP%20Insticash%20Fund%20EUR,No,EUR,06-Nov-2019,114.74 ,(0.04),(0.13),(0.39),(0.46),(0.48),(0.35),0.01 ,5/15/2003,LU0167237543,BNPICMC LX EQUITY,EUR Acc  ,No,No,1,85%,Yes,Restricted,SFC Unauthorized,Yes,Yes,Yes,No charge,Capital Preservation,Up to 1 year,Any investment time horizon,Daily,Daily,No,No,"BOS Fee Schedule applies - Min USD375, Max up to 2% upfront fee", ,,,,
UBS (Lux) Money Market Fund - AUD P-acc,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0066649970,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/UBS/UBS%20(Lux)%20Money%20Market%20Fund%20-%20AUD,No,AUD,06-Nov-2019,2353.30 ,0.02 ,0.14 ,1.18 ,1.38 ,1.27 ,1.44 ,0.10 ,8/20/1992,LU0066649970,UBSMMKA LX EQUITY,AUD Acc  ,No,No,1,85%,Yes,Restricted,SFC Unauthorized,Yes,Yes,Yes,2.00%,Capital Preservation,Up to 1 year,Any investment time horizon,Daily,Daily,No,No,, ,,,,
BNP Paribas InstiCash GBP 1D Short Term VNAV,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0167236651,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/BNP/BNP%20Insticash%20Fund%20GBP,No,GBP,06-Nov-2019,130.93 ,0.04 ,0.13 ,0.47 ,0.56 ,0.32 ,0.31 ,0.06 ,5/15/2003,LU0167236651,BNPISBC LX EQUITY,GBP Acc  ,No,No,1,85%,Yes,Restricted,SFC Unauthorized,Yes,Yes,Yes,No charge,Capital Preservation,Up to 1 year,Any investment time horizon,Daily,Daily,No,No,"BOS Fee Schedule applies - Min USD375, Max up to 2% upfront fee", ,,,,
LionGlobal SGD Money Market,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=SG9999002760,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Lion/LionGlobal%20SGD%20MM,No,SGD,06-Nov-2019,1.31 ,0.13 ,0.42 ,1.38 ,1.61 ,1.21 ,1.13 ,0.10 ,10/29/1999,SG9999002760,OCBSGDM SP EQUITY,SGD Acc  (H),No,No,1,90%,Yes,"Retail
(Authorized)",SFC Unauthorized,No,Yes,No,5.00%,Capital Preservation,Up to 1 year,Any investment time horizon,Daily,Daily,No,Yes,, ,,,,
Closed Ended Funds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,
EW Global Deposits Fund SP,NA,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Edelweiss/EW%20Global%20Deposits%20Fund%20SP,No,USD,#N/A Field Not Applicable,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4/15/2019,KYG6363A1242,MSOEWGD KY Equity,NA,No,No,5,0%,Yes,Restricted,SFC Unauthorized,No,"Yes, if Suitable",No,2.00%,Income Generation,1 year,> 1 year,Closed,Daily redemption with up to 5% exit fee and other charges and fees applicable - Subject to approval by manager.,No,Yes,Redemption fee: Up to 5% of NAV; and it may be reduced or waived at the sole discretion of the Directors of the Fund in consultation with the Manager. Please refer to pg 10-12  �Charges and Fees� in page of the Multi Strategy Opportunities SPC Appendix dated 9 April 2019 relating to EW Global Deposits Funds SP for other charges that may apply. ,,,,,
Invesco US Senior Loans 2021,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=KYG4923R1092,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Invesco/Invesco%20US%20Senior%20Loans%202021,No,USD,05-Nov-2019,73.75 ,0.08 ,(0.05),5.83 ,2.28 ,N/A,N/A,N/A,2/2/2017,KYG4923R1092,INVUSLU KY EQUITY,"USD Dis  (Mth) , SGD Dis  (Mth) (H)",No,Yes,5,75%,Yes,Restricted,SFC Unauthorized,No,"Yes, if Suitable",No,,Income Generation,4 years,> 1 year,Closed,Daily redemption with 1% exit fee,No,Yes,"4 year fixed maturity fund. Daily redemption, subject to 1% early termination charge. Front Office staff should ensure that client's investment horizon is in line with the fund's investment tenor.","(HY Bond Fund, restrictions apply)#",,,,
Legg Mason Western Asset Diversified Global Credit Fixed Maturity Bond Fund Series 3,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=IE00BJR5ZG17,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Legg Mason/Legg%20Mason%20Western%20Asset%20Diversified%20Global%20Credit%20Fixed%20Maturity%20Bond%20Fund%20Series%203,No,USD,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,IE00BJR5ZG17,TBC,"USD Acc, USD Dis(Qter), SGD Dis(Qter) (H), HKD Dis(Qter), AUD  Dis(Qter) (H), GBP Dis(Qter) (H)",No,No,2,80% (subject to 20% concentration limit),Yes,Restricted,SFC Unauthorized,No,Yes,Yes,5.00%,Income Generation,4 years,> 1 year,,Daily redemption with up to 0.5% exit fee,No,No,"4 yrs fixed maturity fund. Daily redemption subject to 0.50% exit fee.
Front Office staff should ensure that client's investment horizon is in line with the fund's investment tenor.", ,,,,
Lion-Bank of Singapore Emerging Market Bond Fund 2021 USD Acc,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=SG9999015598,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Lion/Lion-BOS%20EM%20Bond%20Fund%202021,No,USD,06-Nov-2019,0.96 ,0.00 ,(0.38),5.65 ,5.98 ,2.94 ,N/A,2.50 ,8/1/2016,SG9999015598,LBSEMUD SP Equity,"USD Acc , USD Dis  (Qter) , SGD Acc  (H) , SGD Dis  (Qter) (H) , AUD Acc  (H) , AUD Dis  (Qter) (H)",No,Yes,4,75%,Yes,Restricted,SFC Unauthorized,No,Yes,No,3.00%,Income Generation,5 years,> 1 year,Closed,Daily redemption with 0.5% exit fee,No,Yes,"5 yrs fixed maturity fund. Daily redemption subject to 0.50% exit fee.
Front Office staff should ensure that client's investment horizon is in line with the fund's investment tenor.","(HY Bond Fund, restrictions apply)#",,,,
UBS Asian Bonds 2020 Segregated Portfolio,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=KYG9177W5064,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/UBS/Asian%20Bonds%202020%20Segregated%20Portfolio,No,USD,06-Nov-2019,111.98 ,0.32 ,0.96 ,4.24 ,5.37 ,2.89 ,N/A,1.52 ,6/17/2016,KYG9177W5064,UBAB2AU KY Equity,"USD Acc , USD Dis , USD Acc , USD Dis  ",No,No,5,80%,Yes,Restricted,SFC Unauthorized,No,"Yes, if Suitable",No,3.00%,Income Generation,4 years,> 1 year,Closed,Daily redemption with 0.5% exit fee,No,Yes,"4 yrs fixed maturity fund. Daily redemption subject to 0.5% exit fee.
Front Office staff should ensure that client's investment horizon is in line with the fund's investment tenor.", ,,,,
UBS Asian Bonds Series 3 (USD),https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=KYG9344R2249,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/UBS/UBS%20Asian%20Bonds%20Series%203,No,USD,06-Nov-2019,100.34 ,0.30 ,0.82 ,N/A,N/A,N/A,N/A,N/A,4/15/2019,KYG9344R2249,UA3AQUS KY Equity,"USD Dis, SGD H Dis, HKD Dis",No,No,3,80%,Yes,Restricted,SFC Unauthorized,No,Yes,No,3.00%,Income Generation,4 years,> 1 year,Closed,Daily redemption with maximum 1% exit fee (currently at 0.5%),No,Yes,4 yrs fixed maturity fund. Daily redemption with maximum 1% exit fee (currently at 0.5%). Front Office staff should ensure that client's investment horizon is in line with the fund's investment tenor., ,,,,
UBS Asian Bonds Series 4 (USD),https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=KYG9344R2991,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/UBS/UBS%20Asian%20Bonds%20Series%204,No,USD,05-Nov-2019,101.74 ,0.59 ,1.81 ,N/A,N/A,N/A,N/A,N/A,5/31/2019,KYG9344R2991,UAB4AQU KY Equity,"USD Dis, SGD H Dis, HKD Dis",No,No,3,80%,Yes,Restricted,SFC Unauthorized,No,Yes,No,3.00%,Income Generation,4.5 years,> 1 year,Closed,Daily redemption with maximum 1% exit fee (currently at 0.5%),No,Yes,4.5 yrs fixed maturity fund. Daily redemption with maximum 1% exit fee (currently at 0.5%). Front Office staff should ensure that client's investment horizon is in line with the fund's investment tenor., ,,,,
Hedge Funds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,
Please ensure you have done the Hedge Fund-specific online training and quiz before marketing any Hedge Funds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hedge Funds - Global Macro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,
Goldman Sachs Global Strategic Macro Bond Portfolio,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU1111995400,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Goldman%20Sachs/Goldman%20Sachs%20Global%20Strategic%20Macro%20Bond%20Portfolio,No,USD,06-Nov-2019,106.28 ,1.16 ,(0.32),3.17 ,3.16 ,0.75 ,1.18 ,3.76 ,10/22/2014,LU1111995400,GSMBBAU LX EQUITY,"USD Acc , USD Dis (Ann) , EUR Acc  (H) , GBP Acc  (H)",Yes,No,5,25%,Yes,Restricted,SFC Unauthorized,Yes,Yes,Yes,5.50%,Capital Appreciation,N/A,> 10 years,Daily,Daily,No,Yes,Daily Liquidity, ,,,,
H2O Multibonds Fund,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=FR0013393329,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/H2O/H2O%20Multibonds%20Fund,Yes,EUR,05-Nov-2019,134.08 ,3.10 ,16.38 ,N/A,N/A,N/A,N/A,N/A,1/14/2019,FR0013393329,H20MESR FP Equity,"EUR Acc , USD Acc , USD Acc  (H) , SGD Acc  ",Yes,No,5,0%,Yes,Restricted,SFC Unauthorized,TBC,Yes,Yes,2.00%,Capital Appreciation,N/A,> 10 years,Daily,Daily,No,Yes,Daily Liquidity,(Super retail share class),,,,
